Timestamp,Floor_point,Re-ID
2020-04-10 00:00:00.066667,"[297.0, 445.0]",1
2020-04-10 00:00:00.066667,"[353.0, 81.0]",2
2020-04-10 00:00:00.066667,"[392.0, 161.0]",3
2020-04-10 00:00:00.066667,"[436.0, 270.0]",4
2020-04-10 00:00:00.733333,"[357.0, 81.0]",2
2020-04-10 00:00:00.733333,"[392.0, 161.0]",3
2020-04-10 00:00:00.733333,"[296.0, 443.0]",1
2020-04-10 00:00:00.733333,"[438.0, 277.0]",4
2020-04-10 00:00:01.400000,"[395.0, 164.0]",3
2020-04-10 00:00:01.400000,"[357.0, 78.0]",2
2020-04-10 00:00:01.400000,"[444.0, 272.0]",4
2020-04-10 00:00:01.400000,"[296.0, 444.0]",1
2020-04-10 00:00:02.066667,"[445.0, 263.0]",4
2020-04-10 00:00:02.066667,"[349.0, 78.0]",2
2020-04-10 00:00:02.066667,"[296.0, 443.0]",1
2020-04-10 00:00:02.733333,"[347.0, 64.0]",2
2020-04-10 00:00:02.733333,"[444.0, 261.0]",4
2020-04-10 00:00:02.733333,"[428.0, 259.0]",4
2020-04-10 00:00:02.733333,"[186.0, 537.0]",5
2020-04-10 00:00:02.733333,"[298.0, 442.0]",1
2020-04-10 00:00:03.400000,"[344.0, 67.0]",2
2020-04-10 00:00:03.400000,"[296.0, 440.0]",1
2020-04-10 00:00:03.400000,"[441.0, 261.0]",4
2020-04-10 00:00:04.066667,"[422.0, 217.0]",4
2020-04-10 00:00:04.066667,"[285.0, 444.0]",1
2020-04-10 00:00:04.066667,"[445.0, 269.0]",4
2020-04-10 00:00:04.066667,"[140.0, 408.0]",6
2020-04-10 00:00:04.066667,"[340.0, 72.0]",2
2020-04-10 00:00:04.733333,"[424.0, 227.0]",4
2020-04-10 00:00:04.733333,"[445.0, 268.0]",4
2020-04-10 00:00:04.733333,"[324.0, 53.0]",2
2020-04-10 00:00:04.733333,"[137.0, 458.0]",6
2020-04-10 00:00:05.400000,"[276.0, 431.0]",5
2020-04-10 00:00:05.400000,"[321.0, 419.0]",5
2020-04-10 00:00:05.400000,"[133.0, 496.0]",6
2020-04-10 00:00:05.400000,"[311.0, 52.0]",2
2020-04-10 00:00:05.400000,"[419.0, 223.0]",4
2020-04-10 00:00:05.400000,"[446.0, 269.0]",4
2020-04-10 00:00:06.066667,"[308.0, 437.0]",5
2020-04-10 00:00:06.066667,"[374.0, 372.0]",5
2020-04-10 00:00:06.066667,"[446.0, 269.0]",4
2020-04-10 00:00:06.066667,"[418.0, 219.0]",4
2020-04-10 00:00:06.733333,"[424.0, 238.0]",4
2020-04-10 00:00:06.733333,"[445.0, 268.0]",4
2020-04-10 00:00:07.400000,"[369.0, 380.0]",7
2020-04-10 00:00:07.400000,"[424.0, 334.0]",5
2020-04-10 00:00:07.400000,"[446.0, 268.0]",4
2020-04-10 00:00:07.400000,"[417.0, 225.0]",4
2020-04-10 00:00:08.066667,"[389.0, 365.0]",7
2020-04-10 00:00:08.066667,"[431.0, 314.0]",5
2020-04-10 00:00:08.066667,"[441.0, 248.0]",4
2020-04-10 00:00:08.733333,"[414.0, 340.0]",7
2020-04-10 00:00:08.733333,"[440.0, 252.0]",4
2020-04-10 00:00:08.733333,"[386.0, 171.0]",3
2020-04-10 00:00:09.400000,"[388.0, 170.0]",3
2020-04-10 00:00:09.400000,"[437.0, 322.0]",5
2020-04-10 00:00:09.400000,"[439.0, 248.0]",4
2020-04-10 00:00:10.066667,"[433.0, 311.0]",5
2020-04-10 00:00:10.066667,"[432.0, 227.0]",4
2020-04-10 00:00:10.066667,"[388.0, 167.0]",3
2020-04-10 00:00:10.733333,"[452.0, 253.0]",8
2020-04-10 00:00:10.733333,"[438.0, 322.0]",5
2020-04-10 00:00:11.400000,"[435.0, 324.0]",5
2020-04-10 00:00:12.066667,"[436.0, 240.0]",4
2020-04-10 00:00:12.066667,"[386.0, 173.0]",3
2020-04-10 00:00:12.733333,"[438.0, 322.0]",5
2020-04-10 00:00:12.733333,"[386.0, 170.0]",3
2020-04-10 00:00:13.400000,"[386.0, 169.0]",3
2020-04-10 00:00:14.066667,"[386.0, 168.0]",3
