Timestamp,Cam-id,FloorPoints,Re-id,X,Y
2020-04-10 00:00:15.400000,1,"[100, 40]",1,100,40
2020-04-10 00:00:15.400000,2,"[120, 40]",2,120,40
2020-04-10 00:00:16.066667,2,"[180, 140]",2,180,140
2020-04-10 00:00:16.066667,1,"[120, 80]",2,120,80
2020-04-10 00:00:16.733333,2,"[160, 140]",2,160,140
2020-04-10 00:00:17.400000,2,"[160, 140]",2,160,140
2020-04-10 00:00:18.066667,2,"[160, 140]",2,160,140
2020-04-10 00:00:18.733333,2,"[160, 140]",2,160,140
2020-04-10 00:00:19.400000,2,"[160, 120]",4,160,120
2020-04-10 00:00:20.066667,2,"[180, 140]",2,180,140
2020-04-10 00:00:20.733333,2,"[180, 140]",2,180,140
2020-04-10 00:00:21.400000,2,"[180, 140]",2,180,140
2020-04-10 00:00:22.066667,2,"[180, 140]",6,180,140
2020-04-10 00:00:22.733333,2,"[200, 120]",6,200,120
2020-04-10 00:00:23.400000,1,"[160, 100]",3,160,100
2020-04-10 00:00:24.066667,1,"[200, 100]",2,200,100
2020-04-10 00:00:24.733333,1,"[340, 100]",2,340,100
2020-04-10 00:00:25.400000,1,"[420, 60]",4,420,60
2020-04-10 00:00:26.066667,1,"[380, 40]",2,380,40
2020-04-10 00:00:26.733333,1,"[320, 100]",2,320,100
2020-04-10 00:00:27.400000,1,"[300, 100]",2,300,100
2020-04-10 00:00:28.066667,1,"[300, 120]",2,300,120
2020-04-10 00:00:28.733333,2,"[180, 140]",4,180,140
2020-04-10 00:00:28.733333,1,"[260, 140]",2,260,140
2020-04-10 00:00:29.400000,2,"[120, 60]",4,120,60
2020-04-10 00:00:29.400000,1,"[180, 120]",2,180,120
2020-04-10 00:00:30.066667,2,"[140, 100]",6,140,100
2020-04-10 00:00:30.066667,1,"[120, 80]",2,120,80
2020-04-10 00:00:30.733333,2,"[140, 100]",4,140,100
2020-04-10 00:00:31.400000,2,"[140, 60]",4,140,60
2020-04-10 00:00:32.066667,2,"[140, 60]",4,140,60
2020-04-10 00:00:32.733333,2,"[120, 40]",6,120,40
2020-04-10 00:00:34.066667,1,"[100, 80]",2,100,80
2020-04-10 00:00:34.733333,1,"[100, 40]",2,100,40
2020-04-10 00:00:37.400000,2,"[80, 0]",4,80,0
2020-04-10 00:00:38.733333,1,"[80, 40]",2,80,40
2020-04-10 00:00:39.400000,1,"[80, 20]",2,80,20
2020-04-10 00:00:44.066667,2,"[160, 120]",4,160,120
2020-04-10 00:00:44.066667,1,"[60, 40]",2,60,40
2020-04-10 00:00:44.733333,2,"[200, 160]",4,200,160
2020-04-10 00:00:44.733333,1,"[100, 40]",2,100,40
2020-04-10 00:00:53.400000,2,"[180, 160]",6,180,160
2020-04-10 00:00:54.066667,2,"[140, 40]",6,140,40
2020-04-10 00:01:24.066667,2,"[100, 20]",4,100,20
